# Dag       	# Fase	# Symbool	# Naam
2031-03-16	21.187	🌗	Laatste kwartier
2031-03-23	 0.291	🌑	Nieuwe maan
2031-03-31	 7.333	🌓	Eerste kwartier
2031-04-07	13.695	🌕	Volle maan
2031-04-14	20.873	🌗	Laatste kwartier
2031-04-21	27.734	🌑	Nieuwe maan
2031-04-29	 6.666	🌓	Eerste kwartier
2031-05-07	14.278	🌕	Volle maan
2031-05-13	20.615	🌗	Laatste kwartier
2031-05-21	 0.098	🌑	Nieuwe maan
2031-05-29	 6.950	🌓	Eerste kwartier
2031-06-05	13.910	🌕	Volle maan
2031-06-12	21.310	🌗	Laatste kwartier
2031-06-20	 0.409	🌑	Nieuwe maan
2031-06-28	 7.376	🌓	Eerste kwartier
2031-07-04	13.581	🌕	Volle maan
2031-07-11	20.928	🌗	Laatste kwartier
2031-07-19	27.870	🌑	Nieuwe maan
2031-07-27	 6.976	🌓	Eerste kwartier
2031-08-03	14.379	🌕	Volle maan
2031-08-10	21.355	🌗	Laatste kwartier
2031-08-18	 0.198	🌑	Nieuwe maan
2031-08-25	 6.643	🌓	Eerste kwartier
2031-09-01	14.029	🌕	Volle maan
2031-09-08	20.775	🌗	Laatste kwartier
2031-09-16	27.669	🌑	Nieuwe maan
2031-09-24	 7.368	🌓	Eerste kwartier
2031-09-30	13.620	🌕	Volle maan
2031-10-08	20.970	🌗	Laatste kwartier
2031-10-16	 0.066	🌑	Nieuwe maan
